,genres,X_lem
0,"['Action & Adventure', 'Comedy', 'Drama', 'Science Fiction & Fantasy']","['though', 'may', 'seem', 'like', 'another', 'harry', 'potter', 'knockoff', 'percy', 'jackson', 'benefit', 'strong', 'supporting', 'cast', 'speedy', 'plot', 'plenty', 'fun', 'greek', 'mythology']"
1,['Comedy'],"['nicole', 'holofcener', 'newest', 'might', 'seem', 'slight', 'place', 'rendering', 'complex', 'character', 'conflicted', 'economic', 'landscape', 'varied', 'natural', 'touching']"
2,"['Comedy', 'Romance']","['blake', 'edward', 'bawdy', 'comedy', 'may', 'score', 'perfect', '10', 'dudley', 'moore', 'self-deprecating', 'performance', 'make', 'midlife', 'crisis', 'persistently', 'funny']"
3,"['Classics', 'Drama']","['sidney', 'lumet', 'feature', 'debut', 'superbly', 'written', 'dramatically', 'effective', 'courtroom', 'thriller', 'rightfully', 'stand', 'modern', 'classic']"
4,"['Action & Adventure', 'Drama', 'Kids & Family']","['one', 'disney', 'finest', 'live-action', 'adventure', '20,000', 'league', 'sea', 'brings', 'jules', 'verne', 'classic', 'sci-fi', 'tale', 'vivid', 'life', 'feature', 'awesome', 'giant', 'squid']"
5,"['Action & Adventure', 'Classics', 'Drama']","['attention', 'strictly', 'paid', 'style', 'instead', 'substance', 'historical', 'accuracy', '10,000', 'b.c', 'visually', 'impressive', 'narratively', 'flimsy', 'epic']"
6,"['Action & Adventure', 'Classics', 'Mystery & Suspense']","['packed', 'twist', 'turn', 'essential', 'early', 'alfred', 'hitchcock', 'feature', 'hint', 'dazzling', 'height', ""'d"", 'reach', 'later', 'career']"
7,"['Classics', 'Drama', 'Western']",[]
8,"['Comedy', 'Drama', 'Romance']",[]
9,"['Classics', 'Drama']",[]
10,"['Art House & International', 'Horror', 'Mystery & Suspense']",[]
11,"['Drama', 'Mystery & Suspense']",[]
12,['Drama'],"['heart', 'right', 'place', 'start', 'promising', 'exercise', 'devolves', 'overlong', 'unevenly', 'directed', 'disappointment']"
13,['Drama'],[]
14,"['Classics', 'Comedy', 'Romance']","['matched', 'garson', 'kanin', 'witty', 'sophisticated', 'screenplay', 'george', 'cukor', 'spencer', 'tracy', 'katherine', 'hepburn', 'top', 'form', 'classic', 'comedy', 'adam', 'rib']"
15,"['Art House & International', 'Drama', 'Faith & Spirituality']","['despite', 'all-star', 'cast', 'impressive', 'visuals', 'bridge', 'san', 'luis', 'rey', 'lifeless', 'slow-going', 'adaptation', 'thornton', 'wilder', 'classic', 'novel']"
16,"['Drama', 'Mystery & Suspense']",[]
17,"['Drama', 'Mystery & Suspense']","['saw', 'nine', 'queen', 'may', 'feel', 'redundant', 'snappy', 'performance', 'make', 'fun', 'watch']"
18,"['Action & Adventure', 'Animation', 'Kids & Family']",[]
19,"['Documentary', 'Special Interest']","['full', 'visually', 'striking', 'footage', 'deep', 'blue', 'may', 'intense', 'younger', 'viewer', 'fan', 'nature', 'documentary', 'find', 'much', 'enjoy']"
20,"['Action & Adventure', 'Classics', 'Romance']","['errol', 'flynn', 'thrill', 'legendary', 'title', 'character', 'film', 'embodies', 'type', 'imaginative', 'family', 'adventure', 'tailor-made', 'silver', 'screen']"
21,"['Classics', 'Drama', 'Mystery & Suspense']",[]
22,"['Comedy', 'Horror', 'Mystery & Suspense']",[]
23,['Comedy'],[]
24,"['Art House & International', 'Drama']",[]
25,"['Drama', 'Science Fiction & Fantasy', 'Romance']","['competent', 'somewhat', 'static', 'tristan', '&', 'isolde', ""n't"", 'achieve', 'sweeping', 'romanticism', 'aim']"
26,"['Art House & International', 'Drama']",[]
27,['Comedy'],[]
28,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","['film', 'run', 'frenetic', 'energy', 'punctuated', 'gratuitous', 'violence', 'sorely', 'lack', 'plot', 'character', 'development', 'stylistic', 'flair']"
29,['Comedy'],[]
30,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']","['incomprehensible', 'forgettable', 'sci-fi', 'thriller', 'ultraviolet', 'inept', 'every', 'regard']"
31,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']",[]
32,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']","['arthur', 'waste', 'big-name', 'voice', 'talent', 'predictable', 'script', 'substandard', 'cg', 'animation']"
33,['Horror'],[]
34,"['Horror', 'Mystery & Suspense']","['even', 'standard', 'camp', 'eternal', 'fails', 'entertain']"
35,"['Classics', 'Drama', 'Romance']",[]
36,"['Classics', 'Drama', 'Mystery & Suspense']",[]
37,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']","['humorously', 'amoral', 'oddball', 'comic', 'thriller', 'feature', 'strong', 'performance', 'pierce', 'brosnan', 'greg', 'kinnear', 'flamboyant', 'aging', 'hit-man', 'work', 'suburban', 'businessman', 'respectively']"
38,"['Art House & International', 'Comedy', 'Drama']",[]
39,"['Art House & International', 'Drama']","['impressionistic', 'narrative', 'may', 'confound', 'viewer', 'denis', 'craft', 'wonderfully', 'poetic', 'dreamlike', 'imagery']"
40,"['Comedy', 'Drama']","['saint', 'ralph', 'amiable', 'tear-jerker', 'walk', 'fine', 'line', 'inspirational', 'hokum']"
41,"['Comedy', 'Romance']","['baxter', 'good-natured', 'simply', 'enough', 'laugh', 'fuel', 'comedy']"
42,"['Drama', 'Kids & Family']","['polanski', 'version', 'dickens', 'classic', 'wo', ""n't"", 'audience', 'asking', 'polished', 'directed', 'skill', 'movie', 'impersonal', 'experience']"
43,"['Action & Adventure', 'Classics', 'Drama', 'Western']","['john', 'wayne', 'prof', 'le', 'compelling', 'behind', 'camera', 'alamo', 'blustery', 'dramatization', 'fort', 'last', 'stand', 'feel', 'like', 'first', 'draft']"
44,"['Drama', 'Romance']","['race', 'class', 'struggle', 'come', 'hampton', 'reworking', 'great', 'gatsby', 'hip-hop', 'flavor', 'unfortunately', 'many', 'subplots', 'lack', 'believable', 'character', 'spoil', 'otherwise', 'novel', 'concept']"
45,['Classics'],[]
46,"['Classics', 'Comedy', 'Drama', 'Romance']","['anchored', 'michael', 'caine', 'charmingly', 'droll', 'performance', 'alfie', 'equally', 'raucous', 'heart-rending', 'portrait', 'romance', 'swinging', ""'60s""]"
47,"['Drama', 'Mystery & Suspense']",[]
48,"['Drama', 'Faith & Spirituality']",[]
49,"['Drama', 'Mystery & Suspense']",[]
50,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']","['alien', 'marvel', 'slow-building', 'atmospheric', 'tension', 'alien', 'pack', 'much', 'visceral', 'punch', 'feature', 'typically', 'strong', 'performance', 'sigourney', 'weaver']"
51,"['Horror', 'Mystery & Suspense']",[]
52,"['Classics', 'Drama']","['smart', 'sophisticated', 'devastatingly', 'funny', 'eve', 'hollywood', 'classic', 'improves', 'age']"
53,['Comedy'],"['crass', 'sitcom-ish', 'holiday', 'comedy', 'eat', '?', 'present', 'over-the-top', 'dysfunctional', 'family', 'hijinks', 'one', 'would', 'expect', 'genre']"
54,"['Comedy', 'Drama']","['ethan', 'green', 'make', 'annoying', 'protagonist', 'joke', ""n't"", 'funny', 'everyone', 'flat', 'paper', 'comic', 'printed']"
55,['Drama'],"['dirty', 'unoriginal', 'l.a.', 'cop', 'drama', 'wear', 'tired', 'influence', 'sleeve']"
56,"['Horror', 'Mystery & Suspense']","['by-the-numbers', 'teen', 'horror', 'flick', 'stay', 'alive', 'fails', 'exploit', 'premise', 'real', 'scare']"
57,"['Comedy', 'Science Fiction & Fantasy']","['high-concept', 'farce', 'carried', 'carl', 'reiner', 'deft', 'direction', 'precise', 'timing', 'lead', 'body-swap', 'comedy', 'worth', 'holding', 'onto']"
58,['Drama'],[]
59,"['Art House & International', 'Drama']",[]
60,"['Documentary', 'Special Interest']","['black', 'gold', 'eye-opening', 'account', 'winner', 'loser', 'global', 'coffee', 'trade']"
61,"['Classics', 'Drama']","['broderick', 'crawford', 'spellbinding', 'politician', 'willie', 'stark', 'director', 'robert', 'rossen', 'adaptation', 'robert', 'penn', 'warren', 'novel', 'corrosive', 'effect', 'power', 'human', 'soul']"
62,"['Documentary', 'Special Interest']","['street', 'fight', 'take', 'immersive', 'ground-level', 'look', 'pivotal', 'political', 'race', 'prof', 'illuminating', 'entertaining', 'inspiring', 'equal', 'measure']"
63,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",[]
64,"['Comedy', 'Drama']","['coming-of-age', 'dramedy', 'whose', 'familiar', 'outline', 'filled', 'rewarding', 'empathy', 'character', 'detail', 'motel', 'mark', 'impressive', 'feature', 'debut', 'writer-director', 'michael', 'kang']"
65,"['Documentary', 'Sports & Fitness']","[""n't"", 'soccer', 'fan', 'enjoy', 'stylish', 'breezy', 'slice', '1970s', 'sport', 'history']"
66,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']","['harrowing', 'naturalistic', 'drama', 'hold', 'grip', 'huller', 'intense', 'performance']"
67,"['Art House & International', 'Horror', 'Mystery & Suspense']",[]
68,"['Art House & International', 'Comedy', 'Drama']",[]
69,"['Drama', 'Science Fiction & Fantasy']",[]
70,"['Action & Adventure', 'Comedy']",[]
71,"['Drama', 'Mystery & Suspense']","['amazing', 'grace', 'quintessential', 'historical', 'biopic', ':', 'stately', 'noble', 'plenty', 'electrifying', 'performance']"
72,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']",[]
73,['Documentary'],"['frenetic', 'thrilling', 'lacking', 'subtletly', 'drug', 'focus', '...', 'likely', 'prompt', 'hard', 'question', 'gone']"
74,"['Horror', 'Mystery & Suspense']",[]
75,"['Drama', 'Mystery & Suspense']","['ambitious', 'preachy', 'drama', 'fails', 'convincingly', 'parcel', 'thriller', 'romance', 'element']"
76,"['Documentary', 'Sports & Fitness']",[]
77,"['Art House & International', 'Drama']",[]
78,"['Comedy', 'Drama', 'Mystery & Suspense']",[]
79,"['Comedy', 'Romance']",[]
80,"['Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy']","['slipstream', 'failed', 'experiment', ';', 'confusing', 'instead', 'coherent']"
81,"['Comedy', 'Drama']","['funny', 'energetic', 'satire', 'paparazzo', 'life', 'entertainment', 'industry', 'delirious', 'another', 'winner', 'indie', 'helmer', 'tom', 'dicillo']"
